Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,2,2013-01-01,0,0,0,0,a,1
1,3,2013-01-02,5530,668,1,0,0,1
1,4,2013-01-03,4327,578,1,0,0,1
1,5,2013-01-04,4486,619,1,0,0,1
1,6,2013-01-05,4997,635,1,0,0,1
1,7,2013-01-06,0,0,0,0,0,1
1,1,2013-01-07,7176,785,1,1,0,1
1,2,2013-01-08,5580,654,1,1,0,1
1,3,2013-01-09,5471,626,1,1,0,1
1,4,2013-01-10,4892,615,1,1,0,1
1,5,2013-01-11,4881,592,1,1,0,1
1,6,2013-01-12,4952,646,1,0,0,0
1,7,2013-01-13,0,0,0,0,0,0
1,1,2013-01-14,4717,616,1,0,0,0
1,2,2013-01-15,3900,512,1,0,0,0
1,3,2013-01-16,4008,530,1,0,0,0
1,4,2013-01-17,4044,503,1,0,0,0
1,5,2013-01-18,4127,568,1,0,0,0
1,6,2013-01-19,5182,688,1,0,0,0
1,7,2013-01-20,0,0,0,0,0,0
1,1,2013-01-21,5394,607,1,1,0,0
1,2,2013-01-22,5720,667,1,1,0,0
1,3,2013-01-23,5578,627,1,1,0,0
1,4,2013-01-24,5195,645,1,1,0,0
1,5,2013-01-25,5586,676,1,1,0,0
1,6,2013-01-26,5598,640,1,0,0,0
1,7,2013-01-27,0,0,0,0,0,0
1,1,2013-01-28,4055,549,1,0,0,0
1,2,2013-01-29,3725,522,1,0,0,0
1,3,2013-01-30,4601,560,1,0,0,0
1,4,2013-01-31,4709,571,1,0,0,0
1,5,2013-02-01,5633,658,1,0,0,0
1,6,2013-02-02,5970,701,1,0,0,0
1,7,2013-02-03,0,0,0,0,0,0
1,1,2013-02-04,7032,762,1,1,0,0
1,2,2013-02-05,6049,678,1,1,0,0
1,3,2013-02-06,6140,693,1,1,0,0
1,4,2013-02-07,5499,675,1,1,0,0
1,5,2013-02-08,5681,630,1,1,0,0
1,6,2013-02-09,5370,656,1,0,0,0
1,7,2013-02-10,0,0,0,0,0,0
1,1,2013-02-11,4409,599,1,0,0,0
1,2,2013-02-12,4015,572,1,0,0,0
1,3,2013-02-13,4252,604,1,0,0,0
1,4,2013-02-14,4241,573,1,0,0,0
1,5,2013-02-15,4809,607,1,0,0,0
1,6,2013-02-16,6154,682,1,0,0,0
1,7,2013-02-17,0,0,0,0,0,0
1,1,2013-02-18,6407,710,1,1,0,0
1,2,2013-02-19,5386,608,1,1,0,0
1,3,2013-02-20,5660,684,1,1,0,0
1,4,2013-02-21,5261,629,1,1,0,0
1,5,2013-02-22,5000,599,1,1,0,0
1,6,2013-02-23,5237,650,1,0,0,0
1,7,2013-02-24,0,0,0,0,0,0
1,1,2013-02-25,4038,534,1,0,0,0
1,2,2013-02-26,3794,525,1,0,0,0
1,3,2013-02-27,4558,579,1,0,0,0
1,4,2013-02-28,4676,581,1,0,0,0
1,5,2013-03-01,4611,584,1,0,0,0
1,6,2013-03-02,5350,678,1,0,0,0
1,7,2013-03-03,0,0,0,0,0,0
1,1,2013-03-04,7675,840,1,1,0,0
1,2,2013-03-05,6300,715,1,1,0,0
1,3,2013-03-06,5973,678,1,1,0,0
1,4,2013-03-07,5637,702,1,1,0,0
1,5,2013-03-08,5853,694,1,1,0,0
1,6,2013-03-09,5578,734,1,0,0,0
1,7,2013-03-10,0,0,0,0,0,0
1,1,2013-03-11,4949,618,1,0,0,0
1,2,2013-03-12,3853,491,1,0,0,0
1,3,2013-03-13,4341,622,1,0,0,0
1,4,2013-03-14,5108,660,1,0,0,0
1,5,2013-03-15,4925,677,1,0,0,0
1,6,2013-03-16,5003,680,1,0,0,0
1,7,2013-03-17,0,0,0,0,0,0
1,1,2013-03-18,7072,778,1,1,0,0
1,2,2013-03-19,6563,719,1,1,0,0
1,3,2013-03-20,5598,688,1,1,0,0
1,4,2013-03-21,5179,662,1,1,0,0
1,5,2013-03-22,5506,694,1,1,0,0
1,6,2013-03-23,5603,682,1,0,0,0
1,7,2013-03-24,0,0,0,0,0,0
1,1,2013-03-25,6729,777,1,1,0,1
1,2,2013-03-26,6686,747,1,1,0,1
1,3,2013-03-27,6660,779,1,1,0,1
1,4,2013-03-28,7285,902,1,1,0,1
1,5,2013-03-29,0,0,0,1,b,1
